"ID" "species" "pca" "segclass" "colordiscrim"
"331" "Dendroica_coronata" 0.16 0.13 0.33
"332" "Dendroica_discolor" -0.44 -0.7 -0.28
"333" "Dendroica_fusca" 0.36 0.1 0.58
"334" "Dendroica_graciae" -0.34 -0.27 -0.25
"335" "Dendroica_magnolia" 1.44 0.59 0.27
"336" "Dendroica_nigrescens" -0.19 0.81 -0.23
"337" "Dendroica_occidentalis" 0.18 -0.11 0.36
"338" "Dendroica_palmarum" -0.28 -0.54 -0.28
"339" "Dendroica_pensylvanica" 0.02 -0.11 -0.39
"340" "Dendroica_petechia" 0.31 0.24 1.95
"341" "Dendroica_pinus" 0.23 0.35 1.11
"342" "Dendroica_striata" -0.03 -0.27 -0.22
"343" "Dendroica_tigrina" 1.62 0.82 1.17
"344" "Dendroica_virens" 0.2 -0.23 0.19
"345" "Dicaeum_hirundinaceum" 0.5 3.79 0.46
"346" "Dicaeum_pectorale" 0.06 1.9 1
"347" "Dicrurus_bracteatus" -0.66 0.07 -0.03
"348" "Dicrurus_hottentottus" -0.68 0.65 -0.08
"349" "Dolichonyx_oryzivorus" 2.43 1.49 1.83
"350" "Drymodes_brunneopygia" -0.54 -0.74 -0.65
"351" "Drymodes_superciliaris" NA -0.3 NA
"352" "Ducula_spilorrhoa" 1.12 -0.1 -0.78
"353" "Dumetella_carolinensis" -0.61 -0.62 -0.71
"354" "Eclectus_roratus" 0.54 4.89 4.12
"355" "Egretta_caerulea" -0.64 0.14 -0.81
"356" "Bubulcus_ibis" 0.35 -0.5 -0.54
"357" "Egretta_thula" 1.24 -0.31 -0.8
"358" "Egretta_tricolor" -0.28 0.29 -0.49
"359" "Elaenia_flavogaster" 0.17 -0.44 -0.59
"360" "Electron_platyrhynchum" -0.65 -0.18 -0.09
"361" "Emberiza_cirlus" 0.23 -0.24 0.04
"362" "Emberiza_citrinella" 0.1 -0.32 0.08
"363" "Emberiza_melanocephala" 0.24 0.8 1.36
"364" "Emberiza_schoeniclus" 0.46 0.48 1.16
"365" "Emberizoides_herbicola" -0.07 -0.51 -0.45
"366" "Empidonax_affinis" -0.35 -0.65 -0.48
"367" "Empidonax_alnorum" -0.03 -0.57 -0.5
"368" "Empidonax_atriceps" -0.77 -0.54 -0.4
"369" "Empidonax_difficilis" -0.91 -0.72 -0.6
"370" "Empidonax_flaviventris" -0.64 -0.63 -0.53
"371" "Empidonax_hammondii" -0.26 -0.61 -0.55
"372" "Empidonax_minimus" -0.56 -0.44 -0.31
"373" "Empidonax_oberholseri" 0.31 -0.14 -0.27
"374" "Empidonax_traillii" -0.67 -0.56 -0.46
"375" "Empidonax_virescens" -0.35 -0.74 -0.65
"376" "Empidonax_wrightii" 0.04 -0.41 -0.42
"377" "Entomyzon_cyanotis" -0.61 -0.68 -0.51
"378" "Eopsaltria_australis" -0.74 -0.61 -0.56
"379" "Eopsaltria_georgiana" -0.45 -0.59 -0.76
"380" "Eopsaltria_griseogularis" -0.75 -0.75 -0.5
"381" "Epimachus_albertisi" 0.81 0.81 NA
"382" "Epthianura_albifrons" 0.61 -0.03 -0.29
"383" "Epthianura_aurifrons" 0.88 0.47 1.64
"384" "Epthianura_crocea" -0.02 0.23 1.56
"385" "Epthianura_tricolor" 0.62 0.84 1.3
"386" "Eremalauda_starki" 0.35 -0.45 -0.5
